seq,llatitude,longitude,llatitude_utm,longitude_utm,option
140672,37.24031412,126.7731756,302477.7861,4123855.246,0
140675,37.24030909,126.7731723,302477.4744,4123854.696,0
140678,37.24030403,126.7731689,302477.1594,4123854.141,0
140681,37.24029865,126.7731652,302476.8237,4123853.551,0
140684,37.24029418,126.7731622,302476.5457,4123853.061,0
140687,37.24028978,126.7731593,302476.2721,4123852.579,0
140691,37.24028425,126.7731556,302475.9274,4123851.974,0
140695,37.24027906,126.7731521,302475.602,4123851.405,0
140699,37.24027422,126.7731488,302475.2991,4123850.875,0
140703,37.2402701,126.773146,302475.0406,4123850.423,0
140707,37.24026597,126.7731432,302474.7805,4123849.971,0
140712,37.2402607,126.7731396,302474.4483,4123849.394,0
140717,37.24025661,126.7731368,302474.1898,4123848.946,0
140722,37.24025263,126.7731341,302473.9375,4123848.51,0
140727,37.24024828,126.7731311,302473.6607,4123848.033,0
140733,37.2402443,126.7731283,302473.4075,4123847.597,0
140739,37.24024017,126.7731255,302473.1441,4123847.145,0
140747,37.24023594,126.7731226,302472.875,4123846.682,0
140755,37.24023193,126.7731198,302472.6185,4123846.243,0
140765,37.24022768,126.7731169,302472.3472,4123845.777,0
140776,37.24022351,126.773114,302472.0802,4123845.32,0
140788,37.24021932,126.7731111,302471.8124,4123844.862,0
140800,37.24021525,126.7731083,302471.5516,4123844.416,0
140813,37.24021105,126.7731054,302471.2822,4123843.956,0
